seed,amplitude,snr,method,solver,protocol,distance,lam,penalty,sample_size,max_iterations,shrink,device,backend,field_scale,field_terms,loss,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
8,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.83358,0.0905385,16.8781,0.0116011,5.48729,0.0539033,13.4553,0.00958733,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.93882,0.092146,16.8781,0.0116011,5.31071,0.052691,13.4553,0.00958733,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.35564,0.0973758,16.8781,0.0116011,5.41709,0.0545902,13.4553,0.00958733,30,0.68,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.86239,0.0290582,5.10647,0.00625156,1.14179,0.011498,4.26559,0.00622246,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,3.52991,0.0359709,5.10647,0.00625156,1.64844,0.016611,4.26559,0.00622246,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.07615,0.0613215,5.10647,0.00625156,3.75041,0.0376623,4.26559,0.00622246,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,7.24084,0.0750735,10.3212,0.0156022,3.83187,0.0389792,8.62854,0.0160915,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,7.80813,0.0807954,10.3212,0.0156022,4.3246,0.043887,8.62854,0.0160915,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.40513,0.0865428,10.3212,0.0156022,5.03351,0.0508934,8.62854,0.0160915,30,0.682,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,11.8792,0.126156,21.0496,0.0420231,6.92254,0.0724067,17.644,0.04379,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,12.0747,0.128256,21.0496,0.0420231,7.19627,0.0752945,17.644,0.04379,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
9,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,12.2591,0.130222,21.0496,0.0420231,7.47852,0.0782122,17.644,0.04379,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.10309,0.020789,4.29961,0.00355008,0.965354,0.00964441,3.72893,0.0032509,30,0.68,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.46119,0.0248612,4.29961,0.00355008,1.47475,0.0148998,3.72893,0.0032509,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.81766,0.0486377,4.29961,0.00355008,3.34957,0.0339036,3.72893,0.0032509,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.32237,0.043235,8.6009,0.00686183,2.3086,0.0233994,7.43999,0.00585708,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.72096,0.0478722,8.6009,0.00686183,2.84953,0.0290758,7.43999,0.00585708,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.00462,0.0611,8.6009,0.00686183,4.02252,0.041022,7.43999,0.00585708,30,0.695,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.19026,0.0925215,17.2108,0.0134552,5.09971,0.0522465,14.8099,0.00995171,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.43757,0.0953598,17.2108,0.0134552,5.36489,0.0550274,14.8099,0.00995171,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
10,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.73575,0.0986401,17.2108,0.0134552,5.87155,0.0601668,14.8099,0.00995171,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,1.44614,0.0143663,4.13092,0.00249512,0.539707,0.0053788,3.25046,0.00198902,30,0.74,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,1.75795,0.0177362,4.13092,0.00249512,0.916488,0.00921877,3.25046,0.00198902,30,0.742,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.15576,0.0419492,4.13092,0.00249512,2.76603,0.0278419,3.25046,0.00198902,30,0.741,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,3.48449,0.0345266,8.14426,0.00511966,1.3137,0.0131183,6.441,0.00393651,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,3.82374,0.0384521,8.14426,0.00511966,1.72154,0.0173901,6.441,0.00393651,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
11,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.5527,0.0565907,8.14426,0.00511966,3.35204,0.0339077,6.441,0.00393651,30,0.689,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
