seed,amplitude,snr,protocol,implementation,unexplained_pct,rms_log,planted_cv_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,iterations,seconds,distance,lam,shrink,field_scale,field_terms,timestamp,git_commit,host
5,0.4,inf,v1.1,cxx,0.354081,0.0035458,7.25264,0.258253,0.00258334,5.28404,701,98.985,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
6,0.4,inf,v1.1,torch,0.216298,0.00216529,8.07184,0.139112,0.00139093,6.96086,556,9.553,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
6,0.4,inf,v1.1,cxx,0.216298,0.00216529,8.07184,0.139112,0.00139093,6.96086,556,76.141,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
7,0.4,inf,v1.1,torch,0.254266,0.00254586,10.1879,0.17711,0.00177149,8.59942,489,6.602,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
7,0.4,inf,v1.1,cxx,0.254266,0.00254586,10.1879,0.17711,0.00177149,8.59942,489,71.788,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
8,0.4,inf,v1.1,torch,0.176102,0.00176075,8.39204,0.128762,0.00128805,6.70955,543,7.414,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
8,0.4,inf,v1.1,cxx,0.176102,0.00176075,8.39204,0.128762,0.00128805,6.70955,543,69.694,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
9,0.4,inf,v1.1,torch,0.44769,0.00448326,10.3212,0.273317,0.00273366,8.62854,541,6.314,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
9,0.4,inf,v1.1,cxx,0.44769,0.00448326,10.3212,0.273317,0.00273366,8.62854,541,63.416,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
10,0.4,inf,v1.1,torch,0.212849,0.00213108,8.6009,0.13213,0.00132101,7.43999,601,7.067,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
10,0.4,inf,v1.1,cxx,0.212849,0.00213108,8.6009,0.13213,0.00132101,7.43999,601,73.837,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
11,0.4,inf,v1.1,torch,0.180174,0.00180099,8.14426,0.144356,0.00144348,6.441,671,8.679,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
11,0.4,inf,v1.1,cxx,0.180174,0.00180099,8.14426,0.144356,0.00144348,6.441,671,84.958,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.1,torch,0.405917,0.00407569,8.20754,0.211541,0.00211534,6.54936,408,5.384,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.1,cxx,0.405917,0.00407569,8.20754,0.211541,0.00211534,6.54936,408,74.203,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.1,torch,0.225474,0.00225249,8.10184,0.137515,0.00137531,6.70213,563,7.864,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.1,cxx,0.225474,0.00225249,8.10184,0.137515,0.00137531,6.70213,563,78.213,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.1,torch,0.31531,0.00314919,9.00622,0.220887,0.00220912,7.57758,776,9.938,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.1,cxx,0.31531,0.00314919,9.00622,0.220887,0.00220912,7.57758,776,135.594,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.1,torch,0.426396,0.00427311,8.11356,0.310392,0.00310442,6.86777,430,5.196,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.1,cxx,0.426396,0.00427311,8.11356,0.310392,0.00310442,6.86777,430,49.387,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.1,torch,0.906681,0.00910788,7.39708,0.58094,0.00580459,5.67719,468,5.669,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.1,cxx,0.906681,0.00910788,7.39708,0.58094,0.00580459,5.67719,468,53.534,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.1,torch,0.164482,0.00164427,9.08495,0.106595,0.00106577,7.84108,577,7.096,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.1,cxx,0.164482,0.00164427,9.08495,0.106595,0.00106577,7.84108,577,73.812,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.1,torch,0.234765,0.00234674,10.3687,0.160613,0.0016059,9.07604,575,7.366,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.1,cxx,0.234765,0.00234674,10.3687,0.160613,0.0016059,9.07604,575,70.436,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.1,torch,0.292322,0.00293288,7.67324,0.139991,0.00139994,5.55738,531,6.815,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.1,cxx,0.292322,0.00293288,7.67324,0.139991,0.00139994,5.55738,531,59.487,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.1,torch,0.158427,0.00158355,8.08774,0.11664,0.00116642,6.39393,665,7.623,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.1,cxx,0.158427,0.00158355,8.08774,0.11664,0.00116642,6.39393,665,68.886,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
21,0.4,inf,v1.1,torch,0.443873,0.00445658,6.09176,0.228268,0.00228326,4.3992,477,5.535,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
21,0.4,inf,v1.1,cxx,0.443873,0.00445658,6.09176,0.228268,0.00228326,4.3992,477,55.361,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.1,torch,0.171102,0.0017124,6.56999,0.12935,0.00129381,4.853,570,7.594,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.1,cxx,0.171102,0.0017124,6.56999,0.12935,0.00129381,4.853,570,79.948,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
